number,district,address,amount
1.1,Адмиралтейский,"10-я Красноармейская ул., д.3, к.9",7
1.2,Адмиралтейский,"10-я Красноармейская ул., д.8",3
1.3,Адмиралтейский,"11-я Красноармейская ул., д.9",3
1.4,Адмиралтейский,"12-я Красноармейская ул., д.1/21",1
1.5,Адмиралтейский,"13-я Красноармейская ул., д.14",3
1.6,Адмиралтейский,"13-я Красноармейская ул., д.24",3
1.7,Адмиралтейский,"1-я Красноармейская ул., д.1/21, лит.Д",1
1.8,Адмиралтейский,"1-я Красноармейская ул., д.12",11
1.9,Адмиралтейский,"1-я Красноармейская ул., д.2",3
1.10,Адмиралтейский,"1-я Красноармейская ул., д.6",1
1.11,Адмиралтейский,"1-я Красноармейская ул., д.7-9",3
1.12,Адмиралтейский,"1-я Красноармейская ул., д.8-10",2
1.13,Адмиралтейский,"2-я Красноармейская ул., д.19",3
1.14,Адмиралтейский,"3-я Красноармейская ул., д.17/20",9
1.15,Адмиралтейский,"4-я Красноармейская ул., д.3",1
1.16,Адмиралтейский,"4-я Красноармейская ул., д.4а",1
1.17,Адмиралтейский,"5-я Красноармейская ул., д.16",3
1.18,Адмиралтейский,"6-я Красноармейская ул., д.22",3
1.19,Адмиралтейский,"6-я Красноармейская ул., д.2-4",1
1.20,Адмиралтейский,"8-я Красноармейская ул., д.13",3
1.21,Адмиралтейский,"9-я Красноармейская ул., д.10Б",3
1.22,Адмиралтейский,"9-я Красноармейская ул., д.4-6",14
1.23,Адмиралтейский,"9-я Красноармейская ул., д.9",12
1.24,Адмиралтейский,"Адмиралтейская наб., д.10",3
1.25,Адмиралтейский,"Адмиралтейская наб., д.12-14",5
1.26,Адмиралтейский,"Адмиралтейская наб., д.4",12
1.27,Адмиралтейский,"Адмиралтейская наб., д.6",3
1.28,Адмиралтейский,"Адмиралтейский пр., д.1",4
1.29,Адмиралтейский,"Адмиралтейский пр., д.10",1
1.30,Адмиралтейский,"Адмиралтейского кан. наб., д.1",1
1.31,Адмиралтейский,"Адмиралтейского кан. наб., д.11-13",3
1.32,Адмиралтейский,"Адмиралтейского кан. наб., д.3",1
1.33,Адмиралтейский,"Адмиралтейского кан. наб., д.7",2
1.34,Адмиралтейский,"Адмиралтейского кан. наб., д.9",9
1.35,Адмиралтейский,"Английская наб., д.22",2
1.36,Адмиралтейский,"Английская наб., д.38",1
1.37,Адмиралтейский,"Английская наб., д.44",1
1.38,Адмиралтейский,"Английский пр., д.17-19",3
1.39,Адмиралтейский,"Английский пр., д.36",2
1.40,Адмиралтейский,"Английский пр., д.40",4
1.41,Адмиралтейский,"Английский пр., д.45",2
1.42,Адмиралтейский,"Английский пр., д.4-6",11
1.43,Адмиралтейский,"Английский пр., д.56",3
1.44,Адмиралтейский,"Английский пр., д.62",3
1.45,Адмиралтейский,"Антоненко пер., д.2",3
1.46,Адмиралтейский,"Балтийского вокзала пл., д.1",10
1.47,Адмиралтейский,"Батайский пер., д.3",4
1.48,Адмиралтейский,"Батайский пер., д.6",16
1.49,Адмиралтейский,Благовещенский мост,12
1.50,Адмиралтейский,"Большая Морская ул., д.11",2
1.51,Адмиралтейский,"Большая Морская ул., д.28/13",1
1.52,Адмиралтейский,"Большая Морская ул., д.39",2
1.53,Адмиралтейский,"Большая Морская ул., д.39, лит.Б",1
1.54,Адмиралтейский,"Большая Морская ул., д.40",1
1.55,Адмиралтейский,"Большая Морская ул., д.52",1
1.56,Адмиралтейский,"Большая Морская ул., д.56",1
1.57,Адмиралтейский,"Большая Подъяческая ул., д.17",8
1.58,Адмиралтейский,"Большая Подъяческая ул., д.8",17
1.59,Адмиралтейский,"Большая Подьяческая ул., д.1-3",1
1.60,Адмиралтейский,"Большой Казачий пер., д.1/61",3
1.61,Адмиралтейский,"Большой Казачий пер., д.3",1
1.62,Адмиралтейский,"Большой Казачий пер., д.6",4
1.63,Адмиралтейский,"Большой Казачий пер., д.7",1
1.64,Адмиралтейский,"Большой Казачий пер., д.9",8
1.65,Адмиралтейский,"Бородинская ул., д.1/88",2
1.66,Адмиралтейский,"Бородинская ул., д.11",1
1.67,Адмиралтейский,"Бородинская ул., д.15",1
1.68,Адмиралтейский,"Бронницкая ул., д.15",1
1.69,Адмиралтейский,"Бронницкая ул., д.16",1
1.70,Адмиралтейский,"Бронницкая ул., д.2/70",15
1.71,Адмиралтейский,"Бронницкая ул., д.22",3
1.72,Адмиралтейский,"Бронницкая ул., д.26",6
1.73,Адмиралтейский,"Бронницкая ул., д.27",8
1.74,Адмиралтейский,"Бронницкая ул., д.37",1
1.75,Адмиралтейский,"Бумажная ул., д.10",3
1.76,Адмиралтейский,"Введенский кан., д.8",2
1.77,Адмиралтейский,"Верейская ул., д.20",13
1.78,Адмиралтейский,"Верейская ул., д.22-24",1
1.79,Адмиралтейский,"Верейская ул., д.23",3
1.80,Адмиралтейский,"Верейская ул., д.35",1
1.81,Адмиралтейский,"Верейская ул., д.47",4
1.82,Адмиралтейский,"Витебская ул., д.14",4
1.83,Адмиралтейский,"Витебская ул., д.5/6",6
1.84,Адмиралтейский,"Витебская ул., д.7",4
1.85,Адмиралтейский,"Вознесенский пр., д.1",2
1.86,Адмиралтейский,"Вознесенский пр., д.25",3
1.87,Адмиралтейский,"Вознесенский пр., д.28",3
1.88,Адмиралтейский,"Вознесенский пр., д.33",5
1.89,Адмиралтейский,"Вознесенский пр., д.34Б",8
1.90,Адмиралтейский,"Вознесенский пр., д.3-5",2
1.91,Адмиралтейский,"Вознесенский пр., д.37/6",3
1.92,Адмиралтейский,"Галерная ул., д.11",2
1.93,Адмиралтейский,"Галерная ул., д.12",3
1.94,Адмиралтейский,"Галерная ул., д.16",1
1.95,Адмиралтейский,"Галерная ул., д.19",2
1.96,Адмиралтейский,"Галерная ул., д.26",4
1.97,Адмиралтейский,"Галерная ул., д.55",2
1.98,Адмиралтейский,"Галерная ул., д.56",2
1.99,Адмиралтейский,"Галерная ул., д.57, лит.Б",1
1.100,Адмиралтейский,"Галерная ул., д.77",1
1.101,Адмиралтейский,"Глинки ул., д.1",2
1.102,Адмиралтейский,"Глинки ул., д.2",4
1.103,Адмиралтейский,"Глинки ул., д.3-5-7",1
1.104,Адмиралтейский,"Гороховая ул., д.1",2
1.105,Адмиралтейский,"Гороховая ул., д.17/56",3
1.106,Адмиралтейский,"Гороховая ул., д.23",5
1.107,Адмиралтейский,"Гороховая ул., д.25",1
1.108,Адмиралтейский,"Гороховая ул., д.27",2
1.109,Адмиралтейский,"Гороховая ул., д.3",1
1.110,Адмиралтейский,"Гороховая ул., д.43",3
1.111,Адмиралтейский,"Гороховая ул., д.5",1
1.112,Адмиралтейский,"Гороховая ул., д.52",5
1.113,Адмиралтейский,"Гороховая ул., д.54",2
1.114,Адмиралтейский,"Гороховая ул., д.56",1
1.115,Адмиралтейский,"Гороховая ул., д.57",3
1.116,Адмиралтейский,"Гороховая ул., д.58",4
1.117,Адмиралтейский,"Гороховая ул., д.61",2
1.118,Адмиралтейский,"Гороховая ул., д.63/2",2
1.119,Адмиралтейский,"Гороховая ул., д.64",4
1.120,Адмиралтейский,"Гороховая ул., д.65",4
1.121,Адмиралтейский,"Гороховая ул., д.66",7
1.122,Адмиралтейский,"Гороховая ул., д.67",6
1.123,Адмиралтейский,"Гороховая ул., д.68",7
1.124,Адмиралтейский,"Гороховая ул., д.71",3
1.125,Адмиралтейский,"Гороховая ул., д.73",4
1.126,Адмиралтейский,"Гороховая ул., д.79",3
1.127,Адмиралтейский,"Гражданская ул., д.28",1
1.128,Адмиралтейский,"Грибоедова кан. наб, д.127, к.3, лит.В",1
1.129,Адмиралтейский,"Грибоедова кан. наб., д.105",6
1.130,Адмиралтейский,"Грибоедова кан. наб., д.106",1
1.131,Адмиралтейский,"Грибоедова кан. наб., д.109/8",5
1.132,Адмиралтейский,"Грибоедова кан. наб., д.117",1
1.133,Адмиралтейский,"Грибоедова кан. наб., д.119-121",1
1.134,Адмиралтейский,"Грибоедова кан. наб., д.127, к.3, лит.В",1
1.135,Адмиралтейский,"Грибоедова кан. наб., д.130",1
1.136,Адмиралтейский,"Грибоедова кан. наб., д.152",1
1.137,Адмиралтейский,"Грибоедова кан. наб., д.154",1
1.138,Адмиралтейский,"Грибоедова кан. наб., д.164",1
1.139,Адмиралтейский,"Грибоедова кан. наб., д.42",1
1.140,Адмиралтейский,"Грибоедова кан. наб., д.44",2
1.141,Адмиралтейский,"Грибоедова кан. наб., д.62",1
1.142,Адмиралтейский,"Грибоедова кан. наб., д.65-67",7
1.143,Адмиралтейский,"Грибоедова кан. наб., д.76, лит.П",1
1.144,Адмиралтейский,"Грибоедова кан. наб., д.79/23",1
1.145,Адмиралтейский,"Грибоедова кан. наб., д.82",1
1.146,Адмиралтейский,"Грибоедова кан. наб., д.85/9",1
1.147,Адмиралтейский,"Грибоедова кан. наб., д.94",2
1.148,Адмиралтейский,"Грибоедова кан. наб., д.99",1
1.149,Адмиралтейский,"Грибоедова кан., д.134",1
1.150,Адмиралтейский,"Гривцова пер., д.1/64",1
1.151,Адмиралтейский,"Гривцова пер., д.13/11",1
1.152,Адмиралтейский,"Гривцова пер., д.18",2
1.153,Адмиралтейский,"Гривцова пер., д.26",1
1.154,Адмиралтейский,"Гривцова пер., д.9",1
1.155,Адмиралтейский,Дворцовый мост,8
1.156,Адмиралтейский,"Декабристов пл., д.1",1
1.157,Адмиралтейский,"Декабристов ул., д.1-3",6
1.158,Адмиралтейский,"Декабристов ул., д.14/7",2
1.159,Адмиралтейский,"Декабристов ул., д.15",8
1.160,Адмиралтейский,"Декабристов ул., д.22-24",2
1.161,Адмиралтейский,"Декабристов ул., д.26",1
1.162,Адмиралтейский,"Декабристов ул., д.29, лит.Г",1
1.163,Адмиралтейский,"Декабристов ул., д.36/1",1
1.164,Адмиралтейский,"Декабристов ул., д.37",3
1.165,Адмиралтейский,"Декабристов ул., д.54",3
1.166,Адмиралтейский,"Декабристов ул., д.57",3
1.167,Адмиралтейский,"Декабристов ул., д.6",8
1.168,Адмиралтейский,"Декабристов ул., д.62-64",1
1.169,Адмиралтейский,"Дерптский пер., д.15",3
1.170,Адмиралтейский,"Дровяной пер., д.6",6
1.171,Адмиралтейский,"Дровяной пер., д.7",6
1.172,Адмиралтейский,"Егорова ул., д.14",10
1.173,Адмиралтейский,"Егорова ул., д.24А",3
1.174,Адмиралтейский,"Ефимова ул., д.1",4
1.175,Адмиралтейский,"Ефимова ул., д.2",2
1.176,Адмиралтейский,"Ефимова ул., д.4А",1
1.177,Адмиралтейский,"Загородный пр., д.33",2
1.178,Адмиралтейский,"Загородный пр., д.37",1
1.179,Адмиралтейский,"Загородный пр., д.41-43",2
1.180,Адмиралтейский,"Загородный пр., д.45",3
1.181,Адмиралтейский,"Загородный пр., д.52",5
1.182,Адмиралтейский,"Загородный пр., д.52А",2
1.183,Адмиралтейский,"Загородный пр., д.74",1
1.184,Адмиралтейский,"Звенигородская ул., д.3",2
1.185,Адмиралтейский,"Измайловский пр., д.10",3
1.186,Адмиралтейский,"Измайловский пр., д.21",2
1.187,Адмиралтейский,"Измайловский пр., д.24/161",1
1.188,Адмиралтейский,"Измайловский пр., д.31",3
1.189,Адмиралтейский,"Измайловский пр., д.4",3
1.190,Адмиралтейский,"Измайловский пр., д.7",11
1.191,Адмиралтейский,"Измайловский пр., д.9/2",1
1.192,Адмиралтейский,"Измайловский пр., д.9/2Б",1
1.193,Адмиралтейский,"Исаакиевская пл., д.1",1
1.194,Адмиралтейский,"Исаакиевская пл., д.11",3
1.195,Адмиралтейский,"Исаакиевская пл., д.3",1
1.196,Адмиралтейский,"Исаакиевская пл., д.6",4
1.197,Адмиралтейский,"Исаакиевская пл., д.9",3
1.198,Адмиралтейский,"Казанская ул., д.26/27",6
1.199,Адмиралтейский,"Казанская ул., д.34",1
1.200,Адмиралтейский,"Казанская ул., д.39",3
1.201,Адмиралтейский,"Казанская ул., д.40",1
1.202,Адмиралтейский,"Казанская ул., д.43",6
1.203,Адмиралтейский,"Казанская ул., д.45",1
1.204,Адмиралтейский,"Казанская ул., д.46",2
1.205,Адмиралтейский,"Канонерская ул., д.12",3
1.206,Адмиралтейский,"Канонерская ул., д.30",3
1.207,Адмиралтейский,"Канонерская ул., д.6-8-10",9
1.208,Адмиралтейский,"Климов пер., д.2",15
1.209,Адмиралтейский,"Клинский пр., д.1",1
1.210,Адмиралтейский,"Клинский пр., д.10",2
1.211,Адмиралтейский,"Клинский пр., д.13",1
1.212,Адмиралтейский,"Клинский пр., д.17",3
1.213,Адмиралтейский,"Клинский пр., д.24",2
1.214,Адмиралтейский,"Клинский пр., д.3",1
1.215,Адмиралтейский,"Конногвардейский бул., д.11",7
1.216,Адмиралтейский,"Крюкова кан. наб., д.11",1
1.217,Адмиралтейский,"Крюкова кан. наб., д.19",1
1.218,Адмиралтейский,"Крюкова кан. наб., д.21/64",2
1.219,Адмиралтейский,"Крюкова кан. наб., д.28",2
1.220,Адмиралтейский,"Крюкова кан. наб., д.31",1
1.221,Адмиралтейский,"Крюкова кан. наб., д.7/2",2
1.222,Адмиралтейский,"Крюкова кан. наб., д.7/2, лит.Б",1
1.223,Адмиралтейский,"Курляндская ул., д.28",1
1.224,Адмиралтейский,"Курляндская ул., д.29",13
1.225,Адмиралтейский,"Курляндская ул., д.39, лит.Б",21
1.226,Адмиралтейский,"Лабутина ул., д.36",3
1.227,Адмиралтейский,"Лабутина ул., д.8",2
1.228,Адмиралтейский,"Лермонтовский пр., д.1/44",1
1.229,Адмиралтейский,"Лермонтовский пр., д.10/53",1
1.230,Адмиралтейский,"Лермонтовский пр., д.14",1
1.231,Адмиралтейский,"Лермонтовский пр., д.30",1
1.232,Адмиралтейский,"Лермонтовский пр., д.37",1
1.233,Адмиралтейский,"Лермонтовский пр., д.41",1
1.234,Адмиралтейский,"Лермонтовский пр., д.43/1",9
1.235,Адмиралтейский,"Лермонтовский пр., д.44",6
1.236,Адмиралтейский,"Лермонтовский пр., д.49",17
1.237,Адмиралтейский,"Лермонтовский пр., д.54, лит.Х",3
1.238,Адмиралтейский,"Лермонтовский пр., д.57-59",4
1.239,Адмиралтейский,"Лермонтовский пр., д.9/55",1
1.240,Адмиралтейский,"Лодыгина пер., д.1",1
1.241,Адмиралтейский,"Люблинский пер., д.2/5",1
1.242,Адмиралтейский,"Макаренко пер., д.6-8",9
1.243,Адмиралтейский,"Макаренко пер., д.7",12
1.244,Адмиралтейский,"Малая Морская ул., д.12",2
1.245,Адмиралтейский,"Малая Морская ул., д.15",5
1.246,Адмиралтейский,"Малая Морская ул., д.23",1
1.247,Адмиралтейский,"Малая Морская ул., д.5",1
1.248,Адмиралтейский,"Малая Подьяческая ул., д.8",4
1.249,Адмиралтейский,"Малодетскосельский пр., д.10",2
1.250,Адмиралтейский,"Малодетскосельский пр., д.12",2
1.251,Адмиралтейский,"Малодетскосельский пр., д.14-16",2
1.252,Адмиралтейский,"Малодетскосельский пр., д.17-19/34",3
1.253,Адмиралтейский,"Малодетскосельский пр., д.23",3
1.254,Адмиралтейский,"Малодетскосельский пр., д.3",2
1.255,Адмиралтейский,"Малодетскосельский пр., д.31",1
1.256,Адмиралтейский,"Малодетскосельский пр., д.33",1
1.257,Адмиралтейский,"Малодетскосельский пр., д.36",3
1.258,Адмиралтейский,"Малодетскосельский пр., д.6",2
1.259,Адмиралтейский,"Марата ул., д.86",2
1.260,Адмиралтейский,"Мастерская ул., д.11",2
1.261,Адмиралтейский,"Мастерская ул., д.5",2
1.262,Адмиралтейский,"Матисов пер., д.4, лит.З",1
1.263,Адмиралтейский,"Минский пер., д.1",1
1.264,Адмиралтейский,"Митрофаньевское ш., д.15",3
1.265,Адмиралтейский,"Митрофаньевское ш., д.2, к.1",5
1.266,Адмиралтейский,"Митрофаньевское ш., д.2, к.4",3
1.267,Адмиралтейский,"Можайская ул., д.3, к.5",14
1.268,Адмиралтейский,"Можайская ул., д.38",1
1.269,Адмиралтейский,"Можайская ул., д.41",1
1.270,Адмиралтейский,"Можайская ул., д.49",3
1.271,Адмиралтейский,"Мойки р. наб., д.100",3
1.272,Адмиралтейский,"Мойки р. наб., д.56",1
1.273,Адмиралтейский,"Мойки р. наб., д.62/2",1
1.274,Адмиралтейский,"Мойки р. наб., д.78",2
1.275,Адмиралтейский,"Мойки р. наб., д.98",1
1.276,Адмиралтейский,"Мойки р.наб., д.78",2
1.277,Адмиралтейский,"Мойки реки наб., д.126",1
1.278,Адмиралтейский,"Московский пр., д. 10-12В",2
1.279,Адмиралтейский,"Московский пр., д. 10-12Г",1
1.280,Адмиралтейский,"Московский пр., д. 63",1
1.281,Адмиралтейский,"Московский пр., д. 65, лит.У",1
1.282,Адмиралтейский,"Московский пр., д.10-12",17
1.283,Адмиралтейский,"Московский пр., д.16",1
1.284,Адмиралтейский,"Московский пр., д.2/6",2
1.285,Адмиралтейский,"Московский пр., д.42/27",3
1.286,Адмиралтейский,"Московский пр., д.43",1
1.287,Адмиралтейский,"Московский пр., д.45",3
1.288,Адмиралтейский,"Московский пр., д.48",1
1.289,Адмиралтейский,"Московский пр., д.5",4
1.290,Адмиралтейский,"Московский пр., д.53",3
1.291,Адмиралтейский,"Московский пр., д.6",5
1.292,Адмиралтейский,"Московский пр., д.60/129",2
1.293,Адмиралтейский,"Московский пр., д.63",1
1.294,Адмиралтейский,"Московский пр., д.73",3
1.295,Адмиралтейский,"Московский пр., д.75",4
1.296,Адмиралтейский,"Московский пр., д.79, лит.Б",4
1.297,Адмиралтейский,"Московский пр., д.9",2
1.298,Адмиралтейский,"Мясная ул., д.19-21",6
1.299,Адмиралтейский,"Нарвский пр., д.29",6
1.300,Адмиралтейский,"Нарвский пр., д.4-6",1
1.301,Адмиралтейский,"Никольская пл., д.1",3
1.302,Адмиралтейский,"Никольская пл., д.1, лит.В",2
1.303,Адмиралтейский,"Никольская пл., д.6",1
1.304,Адмиралтейский,"Обводного кан. наб., д.101, лит.Б",2
1.305,Адмиралтейский,"Обводного кан. наб., д.103",1
1.306,Адмиралтейский,"Обводного кан. наб., д.116",2
1.307,Адмиралтейский,"Обводного кан. наб., д.118, лит.С",2
1.308,Адмиралтейский,"Обводного кан. наб., д.118а, лит.АЕ",1
1.309,Адмиралтейский,"Обводного кан. наб., д.119",2
1.310,Адмиралтейский,"Обводного кан. наб., д.120",8
1.311,Адмиралтейский,"Обводного кан. наб., д.121",1
1.312,Адмиралтейский,"Обводного кан. наб., д.122",1
1.313,Адмиралтейский,"Обводного кан. наб., д.122, лит.Б",2
1.314,Адмиралтейский,"Обводного кан. наб., д.124/2",2
1.315,Адмиралтейский,"Обводного кан. наб., д.125",10
1.316,Адмиралтейский,"Обводного кан. наб., д.125, лит.Б",7
1.317,Адмиралтейский,"Обводного кан. наб., д.128",1
1.318,Адмиралтейский,"Обводного кан. наб., д.134-136-138",2
1.319,Адмиралтейский,"Обводного кан. наб., д.134-136-138, к.63",1
1.320,Адмиралтейский,"Обводного кан. наб., д.134-136-138, лит.Б",1
1.321,Адмиралтейский,"Обводного кан. наб., д.142/16",4
1.322,Адмиралтейский,"Обводного кан. наб., д.143",18
1.323,Адмиралтейский,"Обводного кан. наб., д.151-153",7
1.324,Адмиралтейский,"Обводного кан. наб., д.156,к.1",6
1.325,Адмиралтейский,"Обводного кан. наб., д.161",3
1.326,Адмиралтейский,"Обводного кан. наб., д.163",1
1.327,Адмиралтейский,"Обводного кан. наб., д.173",4
1.328,Адмиралтейский,"Обводного кан. наб., д.181",4
1.329,Адмиралтейский,"Обводного кан. наб., д.203",1
1.330,Адмиралтейский,"Обводного кан. наб., д.219-221",4
1.331,Адмиралтейский,"Обводного кан. наб., д.93А",3
1.332,Адмиралтейский,"Обводного кан.наб., д.134-136-138, лит.Б",1
1.333,Адмиралтейский,"Обводного Канала наб., д.108",13
1.334,Адмиралтейский,"Перекопская ул., д.7",3
1.335,Адмиралтейский,"Пионерская пл., д.1",4
1.336,Адмиралтейский,"Пирогова пер., д.21",1
1.337,Адмиралтейский,"Писарева ул., д.1/118",1
1.338,Адмиралтейский,"Подольская ул., д.1-3-5",1
1.339,Адмиралтейский,"Подольская ул., д.21",2
1.340,Адмиралтейский,"Подольская ул., д.40",1
1.341,Адмиралтейский,"Подольская ул., д.42",3
1.342,Адмиралтейский,"Подъездной пер., д.1",3
1.343,Адмиралтейский,"Подъездной пер., д.18, лит.В",1
1.344,Адмиралтейский,"Подъездной пер., д.21",6
1.345,Адмиралтейский,"Почтамтская ул., д.1",2
1.346,Адмиралтейский,"Почтамтская ул., д.2",1
1.347,Адмиралтейский,"Почтамтская ул., д.2/9",2
1.348,Адмиралтейский,"Почтамтская ул., д.4",2
1.349,Адмиралтейский,"Пряжки р. наб., д.30",3
1.350,Адмиралтейский,"Пряжки р. наб., д.4-6",28
1.351,Адмиралтейский,"Пряжки реки наб., д.30",1
1.352,Адмиралтейский,"Пряжки реки наб., д.4-6",1
1.353,Адмиралтейский,"Пряжки реки наб., д.7а",1
1.354,Адмиралтейский,"Псковская ул., д.22",6
1.355,Адмиралтейский,"Рабочий пер., д.4/8",2
1.356,Адмиралтейский,"Репина пл., д.1/201",5
1.357,Адмиралтейский,"Репина пл., д.3-5",6
1.358,Адмиралтейский,"Рижский пр., д.20, лит.И",6
1.359,Адмиралтейский,"Рижский пр., д.23",6
1.360,Адмиралтейский,"Рижский пр., д.30",6
1.361,Адмиралтейский,"Рижский пр., д.49",3
1.362,Адмиралтейский,"Рижский пр., д.54",3
1.363,Адмиралтейский,"Рижский пр., д.56",7
1.364,Адмиралтейский,"Рижский пр., д.62",3
1.365,Адмиралтейский,"Рижский пр., д.72-74",9
1.366,Адмиралтейский,"Римского-Корсакова пр., д.115",1
1.367,Адмиралтейский,"Римского-Корсакова пр., д.117",2
1.368,Адмиралтейский,"Римского-Корсакова пр., д.17",3
1.369,Адмиралтейский,"Римского-Корсакова пр., д.18/13",1
1.370,Адмиралтейский,"Римского-Корсакова пр., д.55",2
1.371,Адмиралтейский,"Римского-Корсакова пр., д.5-7",4
1.372,Адмиралтейский,"Римского-Корсакова пр., д.65/11",6
1.373,Адмиралтейский,"Римского-Корсакова пр., д.73/33",1
1.374,Адмиралтейский,"Римского-Корсакова пр., д.79",8
1.375,Адмиралтейский,"Римского-Корсакова пр., д.83-85",1
1.376,Адмиралтейский,"Рузовская ул., д.15",1
1.377,Адмиралтейский,"Садовая ул., д.105",2
1.378,Адмиралтейский,"Садовая ул., д.109",4
1.379,Адмиралтейский,"Садовая ул., д.111-113",3
1.380,Адмиралтейский,"Садовая ул., д.123",4
1.381,Адмиралтейский,"Садовая ул., д.128",2
1.382,Адмиралтейский,"Садовая ул., д.40",3
1.383,Адмиралтейский,"Садовая ул., д.40Б",1
1.384,Адмиралтейский,"Садовая ул., д.47",1
1.385,Адмиралтейский,"Садовая ул., д.49",2
1.386,Адмиралтейский,"Садовая ул., д.50б, лит.Д",2
1.387,Адмиралтейский,"Садовая ул., д.51",1
1.388,Адмиралтейский,"Садовая ул., д.59",3
1.389,Адмиралтейский,"Садовая ул., д.67",1
1.390,Адмиралтейский,"Садовая ул., д.69",1
1.391,Адмиралтейский,"Садовая ул., д.75",2
1.392,Адмиралтейский,"Садовая ул., д.91",3
1.393,Адмиралтейский,"Садовая ул., д.94",3
1.394,Адмиралтейский,"Сенатская пл., д.1",2
1.395,Адмиралтейский,"Сенатская пл., д.3",1
1.396,Адмиралтейский,"Сенная пл., д.1",2
1.397,Адмиралтейский,"Сенная пл., д.11",1
1.398,Адмиралтейский,"Сенная пл., д.13",4
1.399,Адмиралтейский,"Серпуховская ул., д.19",1
1.400,Адмиралтейский,"Серпуховская ул., д.20",3
1.401,Адмиралтейский,"Серпуховская ул., д.40",1
1.402,Адмиралтейский,"Серпуховская ул., д.43",1
1.403,Адмиралтейский,"Советский пер., д.4",19
1.404,Адмиралтейский,"Союза Печатников ул., д.17",8
1.405,Адмиралтейский,"Союза Печатников ул., д.2",1
1.406,Адмиралтейский,"Союза Печатников ул., д.26",1
1.407,Адмиралтейский,"Союза Печатников ул., д.27",3
1.408,Адмиралтейский,"Союза Печатников ул., д.3",8
1.409,Адмиралтейский,"Союза Печатников ул., д.9/6",2
1.410,Адмиралтейский,"Спасский пер., д.11/1",1
1.411,Адмиралтейский,"Спасский пер., д.2/44",1
1.412,Адмиралтейский,"Средняя Подьяческая ул., д.15",1
1.413,Адмиралтейский,"Старо-Петергофский пр., д.14",3
1.414,Адмиралтейский,"Старо-Петергофский пр., д.16",1
1.415,Адмиралтейский,"Старо-Петергофский пр., д.19",4
1.416,Адмиралтейский,"Старо-Петергофский пр., д.31/2Л",2
1.417,Адмиралтейский,"Старо-Петергофский пр., д.37",3
1.418,Адмиралтейский,"Старо-Петергофский пр., д.39А",3
1.419,Адмиралтейский,"Старо-Петергофский пр., д.43-45",3
1.420,Адмиралтейский,"Старо-Петергофский пр., д.43-45, лит.Б",1
1.421,Адмиралтейский,"Старо-Петергофский пр., д.44",2
1.422,Адмиралтейский,"Старо-петергофский пр., д.8Б",11
1.423,Адмиралтейский,"Степана Разина ул., д.8/50",4
1.424,Адмиралтейский,"Столярный пер., д.10-12",5
1.425,Адмиралтейский,"Столярный пер., д.18/69",1
1.426,Адмиралтейский,"Театральная пл., д.1",2
1.427,Адмиралтейский,"Театральная пл., д.18",1
1.428,Адмиралтейский,"Троицкий пр., д.7",3
1.429,Адмиралтейский,"Труда пл., д.3",1
1.430,Адмиралтейский,"Труда пл., д.4",3
1.431,Адмиралтейский,"Фонарный пер., д.18",1
1.432,Адмиралтейский,"Фонарный пер., д.4",1
1.433,Адмиралтейский,"Фонтанки  реки наб.,  д.126",8
1.434,Адмиралтейский,"Фонтанки  реки наб., д.108",3
1.435,Адмиралтейский,"Фонтанки  реки наб., д.127",11
1.436,Адмиралтейский,"Фонтанки  реки наб., д.129",6
1.437,Адмиралтейский,"Фонтанки  реки наб., д.132Д",2
1.438,Адмиралтейский,"Фонтанки  реки наб., д.133",6
1.439,Адмиралтейский,"Фонтанки  реки наб., д.175",1
1.440,Адмиралтейский,"Фонтанки  реки наб., д.199",1
1.441,Адмиралтейский,"Фонтанки  реки наб., д.91",4
1.442,Адмиралтейский,"Фонтанки  реки наб., д.94",3
1.443,Адмиралтейский,"Фонтанки  реки наб., д.97",1
1.444,Адмиралтейский,"Фонтанки р. наб., д.108",1
1.445,Адмиралтейский,"Фонтанки р. наб., д.126",1
1.446,Адмиралтейский,"Фонтанки р. наб., д.165",1
1.447,Адмиралтейский,"Фонтанки реки наб., д.109",1
1.448,Адмиралтейский,"Фонтанки реки наб., д.110",6
1.449,Адмиралтейский,"Фонтанки реки наб., д.110, лит.Б",2
1.450,Адмиралтейский,"Фонтанки реки наб., д.117, лит.В",2
1.451,Адмиралтейский,"Фонтанки реки наб., д.136",7
1.452,Адмиралтейский,"Фонтанки реки наб., д.203, лит.ЕГ",2
1.453,Адмиралтейский,"Фонтанки реки наб., д.96",2
1.454,Адмиралтейский,"Циолковского ул., д.7",6
1.455,Адмиралтейский,"Шкапина ул., д.1",1
1.456,Адмиралтейский,"Шкапина ул., д.2",1
1.457,Адмиралтейский,"Шкапина ул., д.48, лит.Д",4
1.458,Адмиралтейский,"Шкапина ул., д.6",3
1.459,Адмиралтейский,"Шкапина ул., д.9-11",10
1.460,Адмиралтейский,"Якубовича ул., д.2, лит.Б",1
2.1,Василеостровский,"10-я линия В.О., д.11",1
2.2,Василеостровский,"10-я линия В.О., д.49",2
2.3,Василеостровский,"11-я линия В.О., д.36",1
2.4,Василеостровский,"11-я линия В.О., д.70",2
2.5,Василеостровский,"12-я линия В.О., д.39",2
2.6,Василеостровский,"12-я линия В.О., д.9",1
2.7,Василеостровский,"13-я линия В.О., д.16",1
