district,address,type,cadastral_number,area,status,document,obj_id
Петроградский,"197110, г.Санкт-Петербург, Большая Зеленина улица, д. 5, литера А",помещение,78:07:0003140:3177,202.7,включен,237-р от 26.12.2008,1500042615
Петроградский,"197198, г.Санкт-Петербург, Зверинская улица, д. 18, литера А",помещение,78:07:0003046:2939,39.0,исключен,163-р от 17.12.2009,1500046864
Центральный,"191028, г.Санкт-Петербург, Моховая улица, д. 30, литера А",помещение,78:1266:0:114:5,86.3,включен,237-р от 26.12.2008,300000618
Петроградский,"197198, г.Санкт-Петербург, Большой  проспект П.С., д. 17, литера А",помещение,78:7:3092:5:42:2,119.5,исключен,98-рк от 08.06.2015,1500043129
Петроградский,"197198, г.Санкт-Петербург, Шамшева улица, д. 5/50, литера А",помещение,78:7:3106:0:36:2,94.8,исключен,137-р от 07.09.2011,1500043163
Петроградский,"197110, г.Санкт-Петербург, Большая Зеленина улица, д. 22, литера А",помещение,78:7:3179:17:3:2,44.6,исключен,911-рк от 28.11.2016,1500043284
Приморский,"197227, г.Санкт-Петербург, Серебристый бульвар, д. 15, литера А",помещение,78:4105:0:41:1,20.0,включен,870-рк от 18.09.2020,1700031240
Петроградский,"197136, г.Санкт-Петербург, Большой  проспект П.С., д. 70-72, литера А",часть помещения,78:7:3111:4:1:10,234.1,включен,237-р от 26.12.2008,1500063422
Приморский,"197371, г.Санкт-Петербург, проспект Королева, д. 32, к. 1, литера А",помещение,78:4125А:12:1:9,59.7,исключен,132-р от 04.10.2010,1700023598
Приморский,"197348, г.Санкт-Петербург, Богатырский проспект, д. 9, литера А",помещение,78:4105А:0:35:2,610.3,исключен,125-р от 15.09.2010,1700019819
Адмиралтейский,"190000, г.Санкт-Петербург, Гороховая улица, д. 17/56, литера А",помещение,78:1291:5:4:6,350.1,включен,237-р от 26.12.2008,1100008832
Адмиралтейский,"190121, г.Санкт-Петербург, проспект Римского-Корсакова, д. 59, литера А",часть помещения,78:1247:0:20:2,16.2,включен,237-р от 26.12.2008,1100017294
Адмиралтейский,"190000, г.Санкт-Петербург, Большая Морская улица, д. 34, литера А",помещение,78:32:1257:0:44:3,40.1,включен,1054-рк от 31.10.2019,1100007773
Невский,"193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 113, литера А",помещение,78:7114:0:27:1,114.5,включен,237-р от 26.12.2008,1300008866
Невский,"192029, г.Санкт-Петербург, улица Седова, д. 23, литера Б",помещение,78:12:0711003:2251,120.1,включен,1205-рк от 18.12.2020,1300000405
Невский,"193019, г.Санкт-Петербург, проспект Обуховской Обороны, д. 13, литера А",помещение,78:7006:1:1:2,182.4,включен,830-рк от 30.11.2018,1300008908
Московский,"196084, г.Санкт-Петербург, Московский проспект, д. 136, литера Г",часть здания,78:7532:0:89,110.3,включен,237-р от 26.12.2008,1200032816
Центральный,"193015, г.Санкт-Петербург, Кавалергардская улица, д. 10, литера А",помещение,78:31:0001209:3240,141.7,включен,1205-рк от 18.12.2020,300015541
Адмиралтейский,"190031, г.Санкт-Петербург, Садовая улица, д. 40, литера Б",часть помещения,78:32:1058:6:86:11,146.0,включен,237-р от 26.12.2008,1100075179
Адмиралтейский,"190121, г.Санкт-Петербург, Садовая улица, д. 124, литера А",помещение,78:32:1074:0:50:2,42.9,включен,237-р от 26.12.2008,1100063979
Адмиралтейский,"198005, г.Санкт-Петербург, Троицкий проспект, д. 12, литера Б",здание,78:1641:0:33,37.5,включен,237-р от 26.12.2008,1100008682
Центральный,"191119, г.Санкт-Петербург, Днепропетровская улица, д. 13, литера Б",часть здания,78:1523:0:125,105.3,включен,237-р от 26.12.2008,300107997
Приморский,"197183, г.Санкт-Петербург, Сестрорецкая улица, д. 2, литера А",часть помещения,,34.6,включен,237-р от 26.12.2008,1700045447
Невский,"193171, г.Санкт-Петербург, переулок Матюшенко, д. 10, литера А",помещение,78:12:7139А:0:38:19,134.3,включен,237-р от 26.12.2008,1300039420
Невский,"193171, г.Санкт-Петербург, переулок Матюшенко, д. 10, литера А",помещение,78:12:7139А:0:38:20,143.4,включен,237-р от 26.12.2008,1300039422
Невский,"193171, г.Санкт-Петербург, переулок Матюшенко, д. 10, литера А",помещение,78:12:7139А:0:38:14,33.2,исключен,156-р от 29.09.2011,1300003283
Центральный,"191040, г.Санкт-Петербург, Лиговский проспект, д. 44, литера Б",помещение,78:31:1521:2011:130:6,442.5,исключен,911-рк от 28.11.2016,300015220
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 65, литера А",помещение,78:31:0001220:2247,52.2,включен,237-р от 26.12.2008,300014341
Центральный,"191104, г.Санкт-Петербург, улица Жуковского, д. 6, литера А",помещение,78:31:1282:2007:100:4,67.2,исключен,911-рк от 28.11.2016,300017691
Центральный,"г.Санкт-Петербург, Садовая улица, д. 29, литера А",помещение,78:1144:4:5:6,206.4,исключен,118-р от 24.08.2011,300013713
Центральный,"193036, г.Санкт-Петербург, Невский проспект, д. 130, литера А",помещение,78:31:0001493:2550,407.2,включен,237-р от 26.12.2008,300015801
Центральный,"191040, г.Санкт-Петербург, Лиговский проспект, д. 53, литера А",помещение,78:1045:0:30:7,28.2,включен,237-р от 26.12.2008,300002025
Центральный,"193036, г.Санкт-Петербург, Невский проспект, д. 128, литера А",помещение,78:31:1493:1:6:10,31.2,включен,237-р от 26.12.2008,300003775
Адмиралтейский,"190068, г.Санкт-Петербург, Вознесенский проспект, д. 45, литера А",помещение,78:32:1063:3:4:3,34.9,исключен,911-рк от 28.11.2016,1100007017
Фрунзенский,"192007, г.Санкт-Петербург, Лиговский проспект, д. 161, литера А",часть помещения,78:13:7307:0:37:5,75.0,включен,237-р от 26.12.2008,2100027899
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 1",помещение,78:1056Н:4:1:95,134.1,исключен,272-рк от 22.04.2016,300014954
Петроградский,"197198, г.Санкт-Петербург, Большой  проспект П.С., д. 14, литера А",часть помещения,78:7:3095:0:13:7,270.5,включен,237-р от 26.12.2008,1500063095
Фрунзенский,"192007, г.Санкт-Петербург, Лиговский проспект, д. 173, литера А",помещение,78:13:7307:0:19:3,67.2,исключен,911-рк от 28.11.2016,2100004771
Фрунзенский,"192007, г.Санкт-Петербург, Лиговский проспект, д. 160, литера А",помещение,78:13:0007308:3822,56.3,включен,237-р от 26.12.2008,2100005291
Невский,"193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 48, литера А",помещение,78:7021А:4:1:2,97.9,включен,237-р от 26.12.2008,1300009099
Центральный,"191119, г.Санкт-Петербург, Транспортный переулок, д. 9, литера А",помещение,78:31:1523:4:103:2,49.4,включен,237-р от 26.12.2008,300016489
Выборгский,"г.Санкт-Петербург, проспект Тореза, д. 2/40, литера А",помещение,78:36:5367:1:2:3,38.0,включен,237-р от 26.12.2008,200006185
Центральный,"191123, г.Санкт-Петербург, улица Рылеева, д. 15, литера А",помещение,78:1278:0:33:2,40.4,исключен,215-р от 01.12.2011,300005796
Центральный,"191186, г.Санкт-Петербург, Большая Морская улица, д. 6, литера А",помещение,78:31:0001219:4380,119.0,включен,237-р от 26.12.2008,300048159
Центральный,"191023, г.Санкт-Петербург, Гороховая улица, д. 34, литера А",помещение,78:31:0001144:564,51.1,включен,1054-рк от 31.10.2019,100185223
Центральный,"191002, г.Санкт-Петербург, Загородный проспект, д. 5, литера А",помещение,78:31:1054:7:13:12,85.2,включен,237-р от 26.12.2008,300123332
Центральный,"191002, г.Санкт-Петербург, Загородный проспект, д. 5, литера А",помещение,78:31:1054:7:13:11,161.1,включен,237-р от 26.12.2008,300123333
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:1056Н:0:23:13,249.2,исключен,272-рк от 22.04.2016,300037427
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:1056Н:0:23:13,615.9,исключен,272-рк от 22.04.2016,300047007
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:1056Н:0:23:18,70.3,исключен,272-рк от 22.04.2016,300064840
Центральный,"191002, г.Санкт-Петербург, Загородный проспект, д. 14, литера А",помещение,78:31:1053:2003:2:7,116.7,включен,237-р от 26.12.2008,300115536
Центральный,"191186, г.Санкт-Петербург, Аптекарский переулок, д. 6, литера А",помещение,78:31:0001102:3162,87.9,включен,291-рк от 27.03.2020,300012128
Центральный,"191119, г.Санкт-Петербург, Лиговский проспект, д. 120, литера А",помещение,78:31:1524:11:4:5,43.1,исключен,911-рк от 28.11.2016,100051249
Центральный,"191023, г.Санкт-Петербург, набережная реки Фонтанки, д. 77, литера А",часть помещения,78:31:1057:13:4:2,198.4,исключен,91-р от 24.07.2009,300126099
Центральный,"191123, г.Санкт-Петербург, Кирочная улица, д. 28, литера А",помещение,78:31:0001273:2027,226.2,включен,237-р от 26.12.2008,300129367
Центральный,"191186, г.Санкт-Петербург, набережная канала Грибоедова, д. 29, литера А",помещение,78:1231:0:20:2,212.6,включен,237-р от 26.12.2008,300013809
Центральный,"191119, г.Санкт-Петербург, улица Марата, д. 54/34, литера А",помещение,78:1049:1:5:11,69.2,исключен,911-рк от 28.11.2016,300018887
Центральный,"191040, г.Санкт-Петербург, Лиговский проспект, д. 58, литера А",помещение,78:1521:38:120:1,84.5,исключен,386-рк от 29.04.2020,300016220
Центральный,"191187, г.Санкт-Петербург, Литейный проспект, д. 7, литера А",помещение,78:31:0001194:2954,19.6,включен,237-р от 26.12.2008,300000589
Центральный,"191028, г.Санкт-Петербург, набережная реки Фонтанки, д. 28, литера А",помещение,78:1189:0:53:1,302.0,включен,237-р от 26.12.2008,300017232
Центральный,"191014, г.Санкт-Петербург, Литейный проспект, д. 45/8, литера А",помещение,78:1266:9:4:4,106.7,исключен,94-р от 23.06.2011,300017272
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 53, литера Я",помещение,78:1220:0:101:1,88.3,исключен,111-р от 24.08.2010,300002076
Центральный,"193015, г.Санкт-Петербург, Кирочная улица, д. 47, литера А",помещение,78:1121:0:40:1,169.7,включен,237-р от 26.12.2008,300015469
Центральный,"193144, г.Санкт-Петербург, 6-я Советская улица, д. 31, литера А",помещение,78:31:0001470:1316,141.5,исключен,190-рк от 27.02.2020,300015664
Центральный,"191028, г.Санкт-Петербург, Моховая улица, д. 45, литера А",помещение,78:31:0001189:2739,66.5,включен,389-рк от 29.04.2020,300000664
Центральный,"191028, г.Санкт-Петербург, Моховая улица, д. 20, литера А",помещение,78:31:1194:5:42:13,257.3,включен,45-р (2010) от 23.05.2014,100038919
Центральный,"191123, г.Санкт-Петербург, Виленский переулок, д. 4, литера А",помещение,78:31:1213:2003:5:4,262.5,исключен,111-р от 24.08.2010,300021597
Центральный,"191187, г.Санкт-Петербург, Литейный проспект, д. 11, литера А",помещение,78:1194:0:8:2,243.3,исключен,25-р от 12.03.2010,300012354
Центральный,"191186, г.Санкт-Петербург, Невский проспект, д. 18, литера А",часть помещения,78:1097:0:26:11,188.3,включен,237-р от 26.12.2008,300052281
Центральный,"191104, г.Санкт-Петербург, улица Некрасова, д. 6, литера Д",здание,78:1280:0:16,11.8,включен,237-р от 26.12.2008,300001070
Центральный,"191104, г.Санкт-Петербург, Литейный проспект, д. 36, литера А",помещение,78:31:1267:2:7:9,30.8,исключен,181-р от 30.12.2010,300012915
Петроградский,"197110, г.Санкт-Петербург, Большая Зеленина улица, д. 14/18, литера А",помещение,78:7:3161:0:5:8,182.5,исключен,13-р от 21.02.2011,1500096305
Центральный,"191014, г.Санкт-Петербург, Кирочная улица, д. 17, литера А",помещение,78:31:1272:4:6:8,17.0,исключен,911-рк от 28.11.2016,300013056
Петроградский,"197022, г.Санкт-Петербург, Каменноостровский проспект, д. 42б, литера А",помещение,78:7:3126:2003:45:9,33.2,включен,237-р от 26.12.2008,1500040383
Центральный,"191119, г.Санкт-Петербург, улица Черняховского, д. 19, литера А",часть помещения,78:31:1525:0:129:1,71.3,включен,237-р от 26.12.2008,300017012
Центральный,"191119, г.Санкт-Петербург, улица Черняховского, д. 19, литера А",часть помещения,78:31:1525:0:129:1,65.6,включен,237-р от 26.12.2008,300017013
Петроградский,"197198, г.Санкт-Петербург, Большой  проспект П.С., д. 9/1, литера А",помещение,78:7:3067:14:9:6,133.9,исключен,40-р от 18.04.2011,1500040073
Адмиралтейский,"190031, г.Санкт-Петербург, Московский проспект, д. 7, литера А",помещение,78:1061:13:113:9,55.2,исключен,911-рк от 28.11.2016,1100009511
Адмиралтейский,"190031, г.Санкт-Петербург, Московский проспект, д. 7, литера А",помещение,78:1061:13:113:4,130.3,включен,1205-рк от 18.12.2020,1100013815
Центральный,"191002, г.Санкт-Петербург, Загородный проспект, д. 22, литера А",помещение,78:1625:0:55:7,134.7,включен,237-р от 26.12.2008,300018944
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 28, литера А",помещение,78:15:0008052:1949,279.5,включен,237-р от 26.12.2008,500001819
Московский,"196084, г.Санкт-Петербург, Московский проспект, д. 78, литера К",помещение,78:14:7519:0:66:4,152.5,исключен,163-р от 17.12.2009,1200034456
Центральный,"191002, г.Санкт-Петербург, улица Рубинштейна, д. 27, литера А",помещение,78:31:0001055:2878,57.9,включен,1054-рк от 31.10.2019,100177480
Кировский,"г.Санкт-Петербург, Дачный проспект, д. 9, к. 1, литера А",часть помещения,78:8431:0:29:6,371.9,включен,237-р от 26.12.2008,500016709
Кировский,"г.Санкт-Петербург, Дачный проспект, д. 9, к. 1, литера А",часть помещения,,97.2,исключен,111-р от 24.08.2010,500015918
Калининский,"г.Санкт-Петербург, Тихорецкий проспект, д. 7, к. 2, литера А",помещение,78:10:0521001:2028,67.5,включен,998-рк от 17.10.2019,400006083
Московский,"196158, г.Санкт-Петербург, улица Ленсовета, д. 80, литера А",помещение,78:14:7679:0:29:3,9.9,включен,237-р от 26.12.2008,1200000592
Кировский,"г.Санкт-Петербург, улица Зайцева, д. 3, литера А",помещение,78:15:0008202:4893,108.4,включен,85-р от 02.09.2014,500052559
Невский,"193231, г.Санкт-Петербург, Товарищеский проспект, д. 20/27, литера Б",помещение,78:12:6312Б:3:1:4,53.8,исключен,911-рк от 28.11.2016,1300007750
Центральный,"191040, г.Санкт-Петербург, Лиговский проспект, д. 56, литера А",помещение,78:1521:7:11:29,48.5,исключен,219-р от 08.12.2011,300080407
Центральный,"191040, г.Санкт-Петербург, Лиговский проспект, д. 56, литера А",помещение,78:1521:7:11:11,277.1,исключен,219-р от 08.12.2011,300021877
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 67, к. 1, литера А",помещение,78:15:0008218:1557,41.7,включен,237-р от 26.12.2008,500002510
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 69, литера А",помещение,78:8221:0:3:2,297.7,включен,237-р от 26.12.2008,500002586
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 69, литера А",часть помещения,78:8221:0:3:8,61.9,включен,237-р от 26.12.2008,500015828
Московский,"196158, г.Санкт-Петербург, Пулковская улица, д. 11, литера А",помещение,78:14:7679:0:97:18,81.5,включен,237-р от 26.12.2008,1200024236
Московский,"196158, г.Санкт-Петербург, Пулковская улица, д. 11, литера А",часть помещения,78:14:7679:0:97:5,447.0,исключен,911-рк от 28.11.2016,1200003854
Выборгский,"194044, г.Санкт-Петербург, Нейшлотский переулок, д. 9, литера А",помещение,78:36:0005009:4105,116.6,включен,688-рк от 20.07.2020,200006278
Невский,"193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 68, литера А",помещение,78:12:7114А:6:173:7,214.5,включен,74-р от 26.05.2010,1300046572
Адмиралтейский,"190121, г.Санкт-Петербург, проспект Римского-Корсакова, д. 109-111, литера А",помещение,78:32:1077:0:33:7,76.9,исключен,911-рк от 28.11.2016,1100049902
Московский,"196070, г.Санкт-Петербург, Московский проспект, д. 165, литера А",помещение,,16.0,включен,237-р от 26.12.2008,1200013224
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 81, литера А",помещение,78:31:1045:3:6:11,325.0,исключен,61-р (1945) от 05.05.2010,300138275
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 32/1, литера А",помещение,78:1057:0:13:6,192.7,исключен,159-р от 29.09.2011,300014512
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 32/1, литера А",помещение,78:1057:0:13:20,50.2,исключен,159-р от 29.09.2011,300050358
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 32/1, литера А",помещение,78:1057:0:13:7,82.4,исключен,920-рк от 17.09.2019,300014511
Адмиралтейский,"190031, г.Санкт-Петербург, Гороховая улица, д. 33, литера А",помещение,78:1145:3:2:4,81.8,включен,237-р от 26.12.2008,1100009517
Петроградский,"197101, г.Санкт-Петербург, Каменноостровский проспект, д. 14, литера А",помещение,78:3033:0:35:1,89.1,включен,237-р от 26.12.2008,1500043102
Центральный,"191014, г.Санкт-Петербург, улица Маяковского, д. 34, литера А",помещение,78:31:1279:1:1:7,128.0,включен,237-р от 26.12.2008,300012916
Центральный,"191119, г.Санкт-Петербург, Лиговский проспект, д. 135, литера А",помещение,78:1707:0:19:1,53.2,включен,237-р от 26.12.2008,300014885
Московский,"196105, г.Санкт-Петербург, улица Решетникова, д. 13, литера А",помещение,78:14:0007613:3122,128.3,включен,870-рк от 18.09.2020,1200000637
Калининский,"195220, г.Санкт-Петербург, проспект Науки, д. 36, литера А",помещение,78:10:0005217:6805,624.3,включен,286-рк от 27.04.2016,400006212
Выборгский,"194356, г.Санкт-Петербург, улица Асафьева, д. 9, к. 1, литера А",помещение,78:5511А:0:18:12,102.9,включен,237-р от 26.12.2008,200025984
Петроградский,"197110, г.Санкт-Петербург, Большая Зеленина улица, д. 28, литера А",помещение,78:7:3179:1:1:10,48.8,включен,237-р от 26.12.2008,1500041152
Петроградский,"г.Санкт-Петербург, Пионерская улица, д. 3/15, литера А",помещение,78:7:3092:3:36:4,74.0,исключен,35-р от 12.04.2011,1500043390
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 19, литера А",помещение,78:15:8035:1:9:4,84.2,включен,237-р от 26.12.2008,500001732
Адмиралтейский,"198005, г.Санкт-Петербург, 7-я Красноармейская улица, д. 16, литера Б",здание,78:1718:0:35,143.8,включен,237-р от 26.12.2008,1100009095
Адмиралтейский,"198005, г.Санкт-Петербург, 10-я Красноармейская улица, д. 11, литера А",помещение,78:1652:0:20:3,56.1,исключен,87-р от 23.06.2011,1100024800
Петроградский,"197136, г.Санкт-Петербург, Бармалеева улица, д. 7, литера А",часть помещения,78:7:3113:0:12:2,86.8,включен,237-р от 26.12.2008,1500061515
Выборгский,"194295, г.Санкт-Петербург, проспект Художников, д. 24, к. 1, литера А",помещение,78:36:0005519:5043,266.0,включен,578-рк от 26.06.2020,200049621
Невский,"192174, г.Санкт-Петербург, проспект Александровской Фермы, д. 66а, литера А",часть здания,78:7152:2006:244,133.5,исключен,132-р от 04.10.2010,1300032197
Адмиралтейский,"190031, г.Санкт-Петербург, Гороховая улица, д. 55, литера А",помещение,78:32:1058:0:109:2,207.3,включен,237-р от 26.12.2008,1100004217
Центральный,"191002, г.Санкт-Петербург, Щербаков переулок, д. 14/1, литера А",часть помещения,78:31:0001136:3644,84.5,включен,26-р от 23.03.2009,300014906
Адмиралтейский,"190031, г.Санкт-Петербург, Гороховая улица, д. 35-37, литера А",помещение,78:1145:5:5:2,24.5,исключен,911-рк от 28.11.2016,1100009593
Центральный,"191025, г.Санкт-Петербург, набережная реки Фонтанки, д. 38, литера А",часть помещения,78:31:1283:2002:116:4,57.3,исключен,30-р от 20.03.2012,300113662
Центральный,"191025, г.Санкт-Петербург, набережная реки Фонтанки, д. 38, литера А",часть помещения,78:31:1283:2002:116:4,7.1,исключен,30-р от 20.03.2012,300113660
Центральный,"191126, г.Санкт-Петербург, улица Правды, д. 8, литера А",помещение,78:1692:0:56:1,13.9,включен,150-р от 01.11.2010,300002547
Московский,"196084, г.Санкт-Петербург, Московский проспект, д. 93, литера Б",помещение,78:7512А:1:1:15,1371.3,исключен,63-р от 12.05.2010,1200008552
Адмиралтейский,"198005, г.Санкт-Петербург, набережная Обводного канала, д. 141, литера А",помещение,78:32:0001717:1711,152.8,включен,1205-рк от 18.12.2020,1100096210
Адмиралтейский,"198103, г.Санкт-Петербург, 8-я Красноармейская улица, д. 15-17, литера Б",здание,78:32:1642:0:4,235.4,включен,237-р от 26.12.2008,1100032348
Красногвардейский,"195027, г.Санкт-Петербург, Миронова улица, д. 7, литера А",помещение,78:11:6061:0:19:1,136.8,включен,237-р от 26.12.2008,700000970
Центральный,"191186, г.Санкт-Петербург, Малая Конюшенная улица, д. 16/26, литера А",часть помещения,78:1289:1:2:7,135.5,включен,237-р от 26.12.2008,300079035
Василеостровский,"199161, г.Санкт-Петербург, Малый проспект В.О., д. 7, литера А",помещение,78:6:2023:2003:11:5,31.7,исключен,87-р от 23.06.2011,1400015842
Адмиралтейский,"198020, г.Санкт-Петербург, Нарвский проспект, д. 15, литера А",часть помещения,78:8007:0:38:2,154.5,включен,237-р от 26.12.2008,1100006166
Василеостровский,"199034, г.Санкт-Петербург, Академический переулок, д. 8, литера А",помещение,78:06:0002030:2173,111.5,исключен,313-рк от 17.05.2019,1400014997
Петроградский,"197022, г.Санкт-Петербург, Каменноостровский проспект, д. 44/16, литера Б",помещение,78:07:0003126:2502,85.3,включен,237-р от 26.12.2008,1500073058
Василеостровский,"199057, г.Санкт-Петербург, Железноводская улица, д. 26-28, литера А",помещение,78:2058:1:51:5,161.0,включен,998-рк от 17.10.2019,1400041057
Адмиралтейский,"198005, г.Санкт-Петербург, Московский проспект, д. 49, литера А",помещение,78:1717:2:2:7,271.4,включен,237-р от 26.12.2008,1100031881
Красногвардейский,"195030, г.Санкт-Петербург, 3-я Жерновская улица, д. 23, литера А",часть здания,78:6166Б:0:3,8.8,исключен,111-р от 24.08.2010,700034484
Василеостровский,"199226, г.Санкт-Петербург, Морская набережная, д. 15, литера А,   ",помещение,78:2204:0:4:13,141.0,включен,1054-рк от 31.10.2019,1400015860
Василеостровский,"199178, г.Санкт-Петербург, 11-я линия В.О., д. 34/47, литера А",помещение,78:6:2044:2005:47:12,150.9,исключен,132-р от 04.10.2010,1400015169
Василеостровский,"199004, г.Санкт-Петербург, Средний проспект В.О., д. 35, литера А",помещение,78:6:2035:3:4:3,14.6,включен,237-р от 26.12.2008,1400015183
Адмиралтейский,"190000, г.Санкт-Петербург, Гороховая улица, д. 23, литера А",помещение,78:32:0001291:3190,158.4,включен,1187-рк от 10.12.2019,1100042453
Адмиралтейский,"190000, г.Санкт-Петербург, Галерная улица, д. 9, литера А",помещение,78:1009:0:27:5,75.2,включен,237-р от 26.12.2008,1100026506
Адмиралтейский,"190000, г.Санкт-Петербург, Галерная улица, д. 9, литера А",помещение,78:1009:0:27:6,118.7,включен,237-р от 26.12.2008,1100026507
Адмиралтейский,"190000, г.Санкт-Петербург, Галерная улица, д. 9, литера А",помещение,78:1009:0:27:10,178.9,включен,237-р от 26.12.2008,1100029874
Адмиралтейский,"190000, г.Санкт-Петербург, Галерная улица, д. 9, литера А",часть помещения,78:32:1009:0:27:8,440.0,включен,237-р от 26.12.2008,1100026505
Адмиралтейский,"191180, г.Санкт-Петербург, набережная реки Фонтанки, д. 92, литера А",помещение,78:32:1621:0:11:4,300.0,исключен,111-р от 24.08.2010,1100075796
Московский,"196070, г.Санкт-Петербург, Московский проспект, д. 192-194, литера А",помещение,78:14:7636:8:23:25,12.9,включен,237-р от 26.12.2008,1200030539
Василеостровский,"199048, г.Санкт-Петербург, набережная реки Смоленки, д. 27, литера А",здание,78:6:2058:10:39,298.7,исключен,108-р от 20.07.2011,1400010823
Центральный,"193130, г.Санкт-Петербург, 7-я Советская улица, д. 22, литера В",здание,78:1426:0:15,155.0,исключен,201-р от 15.11.2011,300015684
Адмиралтейский,"190068, г.Санкт-Петербург, Садовая улица, д. 65, литера А",помещение,78:32:0001152:1332,86.3,включен,237-р от 26.12.2008,1100014494
Пушкинский,"196620, Санкт-Петербург, город Павловск, Садовая улица, д. 9, литера А",часть здания,78:16221:0:2,163.4,включен,237-р от 26.12.2008,1800019238
Адмиралтейский,"190068, г.Санкт-Петербург, Театральная площадь, д. 16, литера А",помещение,78:32:0001249:1122,64.7,включен,1054-рк от 31.10.2019,1100034485
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 67, литера А",помещение,78:1220:20:73:3,79.1,включен,237-р от 26.12.2008,300018620
Адмиралтейский,"190031, г.Санкт-Петербург, улица Ефимова, д. 1/4, литера А",помещение,78:32:0001059:1609,21.5,включен,237-р от 26.12.2008,1100002948
Адмиралтейский,"190031, г.Санкт-Петербург, улица Ефимова, д. 1/4, литера А",помещение,78:32:1059:4:171:46,80.1,исключен,156-р от 29.09.2011,1100041805
Центральный,"191123, г.Санкт-Петербург, Кирочная улица, д. 19, литера А",часть помещения,78:1272:1:1:3,48.6,включен,237-р от 26.12.2008,300078971
Выборгский,"194356, г.Санкт-Петербург, проспект Луначарского, д. 5, к. 1, литера А",помещение,78:36:0005512:5427,108.8,включен,883-рк от 24.09.2020,200045688
Адмиралтейский,"198013, г.Санкт-Петербург, Можайская улица, д. 1, литера А",часть помещения,78:32:1631:0:40:11,217.4,включен,65-р от 03.06.2009,1100081003
Центральный,"191187, г.Санкт-Петербург, Соляной переулок, д. 7, литера А",помещение,78:31:1105:5:4:1,23.5,включен,237-р от 26.12.2008,300005823
Центральный,"191025, г.Санкт-Петербург, улица Рубинштейна, д. 2/45, литера А",помещение,78:1224:10:1:3,192.8,включен,237-р от 26.12.2008,300059506
Адмиралтейский,"190000, г.Санкт-Петербург, Большая Морская улица, д. 55, литера А",помещение,78:1178:0:11:9,451.6,включен,237-р от 26.12.2008,1100020594
Московский,"196070, г.Санкт-Петербург, Московский проспект, д. 167, литера А",помещение,78:14:7635:2:1:16,17.1,исключен,911-рк от 28.11.2016,1200016869
Центральный,"191011, г.Санкт-Петербург, набережная реки Фонтанки, д. 29/66, литера А",часть помещения,78:1284:3:28:6,130.6,включен,237-р от 26.12.2008,300018425
Центральный,"191011, г.Санкт-Петербург, набережная реки Фонтанки, д. 29/66, литера А",часть помещения,78:1284:3:28:6,100.2,включен,237-р от 26.12.2008,300018427
Петроградский,"197101, г.Санкт-Петербург, Каменноостровский проспект, д. 18/11, литера А",часть помещения,78:7:3033:4:11:20,56.0,включен,237-р от 26.12.2008,1500068362
Фрунзенский,"192281, г.Санкт-Петербург, Купчинская улица, д. 15, к. 1, литера А",помещение,78:13:7425:3:37:14,101.7,включен,237-р от 26.12.2008,2100020000
Кировский,"198096, г.Санкт-Петербург, улица Червонного Казачества, д. 32, литера Б",здание,78:8207:0:7,183.1,исключен,77-р от 05.06.2012,500007919
Центральный,"193015, г.Санкт-Петербург, Таврическая улица, д. 27, литера Б",помещение,78:31:0001203:3784,63.7,включен,237-р от 26.12.2008,300003236
Центральный,"191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",часть помещения,78:1229:0:3:7,50.0,включен,237-р от 26.12.2008,300011080
Центральный,"191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",часть помещения,78:31:1229:0:3:14,336.6,включен,237-р от 26.12.2008,300075355
Центральный,"191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",часть помещения,78:31:1229:0:3:14,8.8,включен,237-р от 26.12.2008,300075361
Центральный,"191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",помещение,78:31:1229:5:3:13,150.5,включен,237-р от 26.12.2008,300075367
Адмиралтейский,"198013, г.Санкт-Петербург, Малодетскосельский проспект, д. 29, литера А",часть помещения,,62.6,включен,237-р от 26.12.2008,1100010178
