district,address,type,cadastral_number,area,status,document,obj_id
Невский,"192029, г.Санкт-Петербург, улица Ткачей, д. 4, литера А",часть помещения,78:12:0007114:3026,128.9,включен,237-р от 26.12.2008,1300008858
Адмиралтейский,"198013, г.Санкт-Петербург, Верейская улица, д. 23, литера А",помещение,78:32:0001685:1201,136.6,включен,389-рк от 29.04.2020,1100039135
Невский,"193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 107, литера Б",помещение,78:12:7114:2:5:6,85.2,включен,237-р от 26.12.2008,1300007603
Невский,"193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 73, литера А",помещение,78:12:7118:0:16:2,100.0,включен,237-р от 26.12.2008,1300007508
Невский,"193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 87, литера А",помещение,78:7117:2:4:2,200.8,исключен,911-рк от 28.11.2016,1300007669
Красносельский,"198259, г.Санкт-Петербург, проспект Ветеранов, д. 160, литера А",часть помещения,78:8479:2:2:5,334.9,включен,237-р от 26.12.2008,800008708
Центральный,"191119, г.Санкт-Петербург, Лиговский проспект, д. 119, литера В",здание,78:31:1702:0:10,110.2,включен,237-р от 26.12.2008,300002786
Пушкинский,"196620, Санкт-Петербург, город Павловск, Детскосельская улица, д. 1/2, литера А",помещение,78:16220:0:3:4,53.3,включен,237-р от 26.12.2008,1800003741
Центральный,"191104, г.Санкт-Петербург, улица Маяковского, д. 36-38, литера А",помещение,78:31:1279:4:6:2,163.7,включен,237-р от 26.12.2008,300032160
Центральный,"191025, г.Санкт-Петербург, Стремянная улица, д. 13, литера А",помещение,78:31:1222:4:19:3,35.9,исключен,133-р от 29.12.2014,300002106
Центральный,"193036, г.Санкт-Петербург, 1-я Советская улица, д. 8, литера А",помещение,78:31:0001494:2268,325.5,включен,1272-рк от 26.12.2019,300102625
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 40",помещение,78:1056Н:3:2:4,215.7,исключен,272-рк от 22.04.2016,300031804
Центральный,"191011, г.Санкт-Петербург, набережная реки Фонтанки, д. 51-53, литера А",помещение,78:1138:2002:1:11,105.8,исключен,176-р от 13.10.2011,300013944
Центральный,"193036, г.Санкт-Петербург, Невский проспект, д. 132, литера А",помещение,78:1493:3:9:6,89.4,исключен,61-р от 05.05.2010,300006695
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 65, литера А",помещение,78:31:1220:3:13:5,62.9,исключен,87-р от 23.06.2011,300014333
Адмиралтейский,"190121, г.Санкт-Петербург, Садовая улица, д. 82, литера А",помещение,78:32:0001155:2378,72.0,включен,237-р от 26.12.2008,1100003936
Центральный,"191002, г.Санкт-Петербург, Загородный проспект, д. 9, литера А",помещение,78:31:1054:1:4:27,85.3,исключен,386-рк от 29.04.2020,300013434
Центральный,"191023, г.Санкт-Петербург, Гороховая улица, д. 32, литера А",помещение,78:1144:5:2:12,323.3,исключен,68-р от 27.05.2011,300018256
Центральный,"191186, г.Санкт-Петербург, Малая Конюшенная улица, д. 14, литера А",помещение,78:31:0001289:1106,161.2,исключен,386-рк от 29.04.2020,300018122
Центральный,"193036, г.Санкт-Петербург, Невский проспект, д. 128, литера А",помещение,78:31:0001493:2788,160.1,включен,998-рк от 17.10.2019,300015747
Центральный,"191002, г.Санкт-Петербург, улица Рубинштейна, д. 15-17, литера А",часть помещения,78:1137:4:1:26,88.9,включен,237-р от 26.12.2008,300018719
Фрунзенский,"192286, г.Санкт-Петербург, Альпийский переулок, д. 30, литера А",помещение,78:13:7415А:16:54:15,474.2,включен,237-р от 26.12.2008,2100007151
Фрунзенский,"192286, г.Санкт-Петербург, Альпийский переулок, д. 30, литера А",часть помещения,78:13:7415А:16:54:18,225.1,включен,237-р от 26.12.2008,2100026788
Фрунзенский,"192007, г.Санкт-Петербург, Лиговский проспект, д. 161, литера А",часть помещения,78:13:7307:0:37:5,1230.6,включен,237-р от 26.12.2008,2100027896
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 1",часть помещения,78:1056Н:4:1:141,6.8,исключен,272-рк от 22.04.2016,300089814
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 1",часть помещения,78:1056Н:4:1:104,96.0,исключен,272-рк от 22.04.2016,300060385
Центральный,"193144, г.Санкт-Петербург, 8-я Советская улица, д. 48, литера А",помещение,78:31:0001430:1352,84.5,включен,1205-рк от 18.12.2020,300015394
Петроградский,"197101, г.Санкт-Петербург, Большой  проспект П.С., д. 61/3, литера А",часть помещения,78:3084:1:3:11,161.9,включен,237-р от 26.12.2008,1500041356
Центральный,"191023, г.Санкт-Петербург, Гороховая улица, д. 26, литера А",помещение,78:1144:0:6:3,290.8,исключен,911-рк от 28.11.2016,300013680
Московский,"196128, г.Санкт-Петербург, Московский проспект, д. 159, литера А",помещение,78:14:7626А:1:34:7,32.2,включен,237-р от 26.12.2008,1200035730
Центральный,"191002, г.Санкт-Петербург, Загородный проспект, д. 5, литера А",помещение,78:31:1054:7:13:13,79.2,включен,237-р от 26.12.2008,300123330
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:1056Н:0:23:13,420.1,исключен,272-рк от 22.04.2016,300037414
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:1056Н:0:23:13,923.6,исключен,272-рк от 22.04.2016,300037415
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:31:0105610:2058,60.7,исключен,272-рк от 22.04.2016,300050689
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:1056Н:0:23:18,123.3,исключен,272-рк от 22.04.2016,300064852
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",часть помещения,78:1056Н:0:23:18,65.2,исключен,272-рк от 22.04.2016,300064845
Центральный,"191028, г.Санкт-Петербург, Литейный проспект, д. 24, литера А",помещение,78:1268:0:2:11,31.5,исключен,223-р от 19.12.2011,300017286
Центральный,"191011, г.Санкт-Петербург, набережная канала Грибоедова, д. 18-20, литера В",помещение,78:31:0001229:2360,58.6,включен,389-рк от 29.04.2020,300068143
Центральный,"191023, г.Санкт-Петербург, Гороховая улица, д. 28, литера А",помещение,78:1144:0:24:1,95.7,исключен,911-рк от 28.11.2016,300013600
Центральный,"191186, г.Санкт-Петербург, Гороховая улица, д. 8/13, литера А",часть помещения,78:1095:0:33:10,75.3,включен,237-р от 26.12.2008,300101319
Центральный,"191186, г.Санкт-Петербург, Гороховая улица, д. 8/13, литера А",помещение,78:31:1095:0:33:2,271.8,включен,237-р от 26.12.2008,300028225
Центральный,"191119, г.Санкт-Петербург, Лиговский проспект, д. 120, литера А",помещение,78:1524:11:4:2,99.6,включен,237-р от 26.12.2008,300016185
